rank,word,entropy_bits,expected_remaining
640,ENEMY,3.9321,79.22
641,CROOK,3.9274,88.83
642,BLOCK,3.9273,95.98
643,GLOSS,3.9251,77.54
644,UNIFY,3.9169,89.25
645,QUALM,3.9116,74.06
646,ITCHY,3.9115,78.89
647,KUDOS,3.9107,85.46
648,ANNEX,3.9098,66.19
649,ALLOW,3.9072,76.8
650,AXIOM,3.9014,72.49
651,ERROR,3.8888,71.43
652,BROOD,3.8593,97.77
653,SKILL,3.8588,89.29
654,BLIMP,3.8555,97.5
655,OCCUR,3.8546,78.04
656,AMAZE,3.8495,69.49
657,BLISS,3.8367,88.07
658,MELEE,3.8332,84.92
659,VODKA,3.8049,85.57
660,SUNNY,3.7988,100.04
661,FJORD,3.7975,89.4
662,JUDGE,3.7304,84.58
663,EQUIP,3.7183,83.6
664,ZILCH,3.7144,96.38
665,OFFAL,3.7076,80.65
666,CIVIL,3.7027,109.51
667,TIMID,3.6933,102.11
668,WORRY,3.6868,100.49
669,SKULL,3.6863,105.31
670,KNACK,3.6841,91.04
671,QUIRK,3.6743,84.52
672,VYING,3.67,111.59
673,LUCKY,3.6644,103.7
674,WISPY,3.6525,102.39
675,BLOOD,3.6466,115.44
676,LEVEL,3.6248,106.12
677,CLOCK,3.6245,109.86
678,GLYPH,3.6205,104.42
679,SAVVY,3.6178,90.63
680,ICILY,3.6156,103.07
681,FUGUE,3.6107,94.49
682,EXPEL,3.6001,95.79
683,EPOXY,3.5699,98.56
684,GLOOM,3.5542,118.53
685,HUSKY,3.5536,121.55
686,OVOID,3.5503,111.43
687,SNUFF,3.537,108.97
688,JEWEL,3.5268,98.8
689,ALLAY,3.5266,112.17
690,IGLOO,3.5202,96.79
691,CYNIC,3.5111,112.47
692,CHECK,3.4747,114.42
693,DULLY,3.4615,125.95
694,ABYSS,3.4502,95.02
695,BLOOM,3.4455,133.53
696,MYRRH,3.4366,117.35
697,RUDDY,3.4181,120.83
698,NYMPH,3.3483,121.37
699,HAPPY,3.3347,115.5
700,QUICK,3.3324,130.89
701,NINJA,3.3209,105.88
702,MOODY,3.2865,151.24
703,FUSSY,3.2686,146.64
704,TUMMY,3.2312,137.82
705,BUMPY,3.1255,164.63
706,KNOWN,3.1219,147.91
707,GIDDY,3.0738,165.07
708,MUDDY,2.9054,192.95
709,WHIFF,2.8529,180.04
710,JUMPY,2.7555,198.6
711,VIVID,2.6503,210.77
712,DIZZY,2.5337,202.59
713,ZIPPY,2.4809,210.21
714,JIFFY,2.3695,227.02
715,JAZZY,2.1831,206.2
